panel,cp,N,df,obs_LR,p_chi2,p_boot,boot_LR_median,boot_LR_p95,boot_LR_max,n_boot_valid,pass_chi2,pass_boot
5v,2010-08-10,5,45,160.55439746310265,6.8833827526759706e-15,0.18363273453093812,96.57182902179233,209.48088721448292,286.94899023472055,500,True,False
5v,2010-11-03,5,45,276.23704412709355,0.0,0.001996007984031936,85.6678330082234,190.84556507712583,245.9947248143451,500,True,True
5v,2011-08-09,5,45,219.95928907932444,0.0,0.013972055888223553,94.28104742621082,165.4591155879983,255.84077942490921,500,True,True
5v,2011-09-21,5,45,255.83045788191646,0.0,0.007984031936127744,98.90637663051814,215.7072864174815,374.540350378805,500,True,True
5v,2012-09-13,5,45,144.97856795865516,1.9342305535019477e-12,0.0658682634730539,82.03935981884649,159.1983963490132,203.03848766027272,500,True,False
5v,2012-12-12,5,45,208.03219816967209,0.0,0.029940119760479042,94.09141610655422,186.54457239555288,264.33643810334775,500,True,True
5v,2013-12-18,5,45,105.16921088677611,1.0087591509888583e-06,0.26746506986027946,82.29834861816965,183.9329768041134,274.52177399394316,500,True,False
5v,2014-10-29,5,45,270.34065942275413,0.0,0.001996007984031936,86.74926244216431,130.95530326033068,196.7432824776582,500,True,True
5v,2015-12-16,5,45,352.37618794322674,0.0,0.005988023952095809,122.69955708506804,251.60745824294787,375.72317981192884,500,True,True
5v,2017-06-14,5,45,242.46983852542394,0.0,0.001996007984031936,78.95838458682249,147.01532169765008,219.02784550122624,500,True,True
5v,2017-09-20,5,45,152.2286616571639,1.4444001550373287e-13,0.05588822355289421,83.53292482413497,154.88349845581158,211.5759605842802,500,True,False
5v,2019-01-30,5,45,268.9912964408386,0.0,0.043912175648702596,142.0728579049353,257.3304578130742,382.3419291470366,500,True,True
5v,2019-06-19,5,45,253.4984169958434,0.0,0.023952095808383235,105.95623162114163,222.66365156843057,383.04105083851437,500,True,True
5v,2019-07-31,5,45,359.15387167624533,0.0,0.003992015968063872,108.77097726164186,216.95662390319123,371.0360729749606,500,True,True
5v,2020-03-15,5,45,482.6847506463707,0.0,0.001996007984031936,131.5755435866726,225.59380016575406,356.7050661575613,500,True,True
5v,2020-09-16,5,45,104.63339788677922,1.1853437152931079e-06,0.09580838323353294,58.915401381126685,118.92993019931116,309.4453541166977,500,True,False
5v,2020-12-16,5,45,481.15859361204275,0.0,0.001996007984031936,104.76484215663459,190.62026564849822,324.7916396278979,500,True,True
5v,2021-09-22,5,45,404.8546151342331,0.0,0.001996007984031936,83.66187670676533,154.81161448303644,224.01275169165604,500,True,True
5v,2021-11-03,5,45,224.51352896022968,0.0,0.001996007984031936,78.23131474544743,138.32587448626947,207.9145032707106,500,True,True
5v,2021-12-15,5,45,287.18518153275613,0.0,0.001996007984031936,101.94489905348729,190.9759158111299,283.0250908733991,500,True,True
5v,2022-01-26,5,45,445.99218905510634,0.0,0.001996007984031936,137.52872414927668,237.80643676752933,415.809608502013,500,True,True
5v,2022-03-16,5,45,482.63171838279766,0.0,0.001996007984031936,122.6020535991891,241.38157864658987,331.30095707877575,500,True,True
5v,2024-09-18,5,45,1015.3614400533147,0.0,0.001996007984031936,182.00425846948406,308.6951109706393,494.06810773219615,500,True,True
14v,2010-08-10,14,315,1643.5343414874364,0.0,0.001996007984031936,613.8626491932073,756.4929352162428,859.1447445618192,500,True,True
14v,2010-11-03,14,315,1506.9566804771398,0.0,0.001996007984031936,623.663776056625,757.8399471454012,908.2709864709427,500,True,True
14v,2011-08-09,14,315,1289.0961083928833,0.0,0.001996007984031936,647.0162015445567,796.0540897358619,915.5639538112637,500,True,True
14v,2011-09-21,14,315,1876.7018935166516,0.0,0.001996007984031936,671.1169486067909,827.6495315116684,1004.4270586649873,500,True,True
14v,2012-09-13,14,315,1186.7486210225202,0.0,0.001996007984031936,645.6884274907725,795.3953827947704,940.6370381899096,500,True,True
14v,2012-12-12,14,315,1299.067787807644,0.0,0.001996007984031936,658.4175433337693,787.1783030891116,960.4098821016114,500,True,True
14v,2013-12-18,14,315,1346.6971988422242,0.0,0.001996007984031936,622.6264499855906,757.561002396092,854.7427129477046,500,True,True
14v,2014-10-29,14,315,1647.9915885415744,0.0,0.001996007984031936,612.7742229077858,725.7958959781745,842.9300574588615,500,True,True
